module	band	status	owns	public_api	publishes	depends_on	must_never	current_code_evidence
inquiry	B-intake/evidence	CURRENT_PARTIAL	Inquiry/RFQ, ChannelRfqHandoff	openInquiry, classify, routeToWorkCase	InquiryOpened, RfqHandedOff	channelintake, documentevidence, customerparty, catalog	own Quote/Order; approve anything	domain/channel/ChannelRfqHandoff, aiwork; V37/V38; RfqHandoff controllers
aiadvisory	B-intake/evidence	CURRENT_PARTIAL	AiWork, extraction results, advisory memory (typed, untrusted)	extract, advise, retrieveMemory	AdvisoryProduced	documentevidence, auditoutbox	write business decisions; be treated as validated	domain/extraction/*, domain/aiwork/*, domain/trust/ai/*; V4/V36/V49/V52/V56
decisiontrace	B-intake/evidence	CURRENT_PARTIAL	ValidationCase, trace/projection of AI+rules decisions	validate, recordDecision, replayTrace	ValidationCompleted	aiadvisory, commercialpolicy, auditoutbox	own commercial truth; mutate quote/order	domain/validation/*, domain/trust/events/*; V5/V51/V56/V57/V58
workmanagement	B-intake/evidence	CURRENT_PROVEN	WorkCase/ExceptionCase, DraftReview UX contract	openWorkCase, correctLine, markReady, escalate	WorkCaseCorrected, MarkedReady	quote, ordermanagement, decisiontrace	own Quote/Order/Payment/Inventory; duplicate business state	domain/workspace/*, DraftReviewService, OperatorActionService; V6/V15
customerparty	C-commercial/O2C	CURRENT_PARTIAL	Customer, CustomerContact, CustomerPreference, ChannelIdentity link	getCustomer, resolveByChannelIdentity, listContacts	CustomerResolved	tenantorganization, auditoutbox	auto-link identities; expose PII contact bodies	domain/customer/*, ChannelIdentity*; V22/V11
catalog	C-commercial/O2C	CURRENT_PARTIAL	Product, ProductAlias, Vehicle, compatibility, substitution	findProduct, resolveSku, listSubstitutes	ProductActivated	inventory, auditoutbox	own price/margin authority; write from AI directly	domain/product/*, domain/vehicle/*; V5/V16/V17/V18
inventory	C-commercial/O2C	CURRENT_PARTIAL	InventorySnapshot, import mirror/staging/activation	getStock, activateImport, snapshot	InventoryActivated	catalog, auditoutbox	accept unvalidated imports as truth; let connector write directly	domain/inventory/*, domain/imports/*; V2/V22
commercialpolicy	C-commercial/O2C	CURRENT_PARTIAL	PricingRule, Discount, Margin, risk decision policy	priceLine, evaluateDiscount, evaluateMargin, evaluateRisk	PolicyEvaluated	catalog, customerparty, auditoutbox	be bypassed by AI/connector output; let client set price	domain/pricing/*, domain/risk/*, domain/trust risk; V5/V47; Pricing/Discount/Margin controllers
quote	C-commercial/O2C	CURRENT_PROVEN	Quote, QuoteLine, QuoteVersion, QuoteApprovalRequest, QuoteArtifact	createDraft, revalidate, assembleDraft, approve, issue, getSummary	QuoteApproved, QuoteIssued, QuoteExpired	inquiry, catalog, inventory, commercialpolicy, decisiontrace, auditoutbox	read Inventory/Pricing repos directly; send email; execute ERP connector; modify PaymentAllocation	domain/workspace quote, QuoteReviewService, QuoteLifecycleService, QuoteApprovalStateMachineService; V15/V18/V19/V30/V31
ordermanagement	C-commercial/O2C	CURRENT_PARTIAL	Order, OrderLine, quote-to-order conversion	convertFromApprovedQuote, getOrder	OrderCreated, OrderConfirmed	quote, auditoutbox, integrationcontrol	convert non-APPROVED quotes; write ERP directly	QuoteTransaction*, QuoteApprovalStateMachineService.convertApprovedQuoteToInternalDraftOrder; V30/V32
fulfillment	C-commercial/O2C	CURRENT_PARTIAL	OrderJourney, Milestone, fulfillment signals, tracking link	recordSignal, advanceMilestone, issueTrackingLink	MilestoneReached, FulfillmentSignalRecorded	ordermanagement, auditoutbox, customerprojection	own Order truth; expose internal ids on public tracking	domain/journey/*, MilestoneState; V53/V54/V59/V60/V61
billingar	C-commercial/O2C	NEEDS_OWNER_DECISION	(target) Invoice/AR mirror	getInvoiceMirror	InvoiceMirrored	ordermanagement, paymentreconciliation	become transactional AR truth without ERP reconciliation	partial via domain/payment; no invoice aggregate today
paymentreconciliation	C-commercial/O2C	CURRENT_PARTIAL	PaymentEvent, PaymentObligation, PaymentAllocation, ReconciliationCase	ingestPaymentEvent, allocate, reconcile	PaymentAllocated, ReconciliationOpened	ordermanagement, auditoutbox	claim exactly-once; allocate without idempotency	domain/payment/*, domain/reconciliation/*; PaymentObligationStatus, PaymentAllocationStatus; V46/V50/V8
claimscollections	C-commercial/O2C	DEFERRED	(none today)	(n/a)	(n/a)	paymentreconciliation	(n/a)	no code at HEAD
integrationcontrol	D-integration/delivery	CURRENT_PROVEN	IntegrationConnection, ChangeRequest, CompensationPlan, OutboxEvent orchestration	createChangeRequest, approveChangeRequest, prepareCandidate	ChangeRequestApproved, ExternalSyncIntended	tenantconfiguration, auditoutbox	execute external writes itself; approve its own change requests	domain/integration/*, ChangeRequestService; V10/V13/V28/V29
connectorexecution	D-integration/delivery	CURRENT_PARTIAL	ConnectorRun, ConnectorCommandExecution, ConnectorSandboxExecution, credential refs	executeApproved, lease, checkpoint, revoke, reconcile	ConnectorExecuted, ConnectorFailed	integrationcontrol, auditoutbox	execute without APPROVED ChangeRequest; conflate read/write capability	ConnectorExecutionSafetyService, ConnectorSandboxExecutionService, ConnectorIdempotencyService; V12/V14; P1-F Gateway seam
communicationdelivery	D-integration/delivery	CURRENT_PARTIAL	DeliveryAttempt (business messaging), bot response drafts	enqueueMessage, deliver	MessageDelivered, DeliveryFailed	auditoutbox, integrationcontrol	deliver MFA/security messages; own business state	domain/bot/*, V24/V25/V33/V34/V35; bot runtime response drafts
securitydelivery	D-integration/delivery	TARGET_STATE_2	(target) MFA/security DeliveryAttempt	sendSecurityChallenge	SecurityDelivered	identityaccess, auditoutbox	share provider/pool with business messaging	OIDC session exists (P1-C); no MFA delivery today
customerprojection	D-integration/delivery	CURRENT_PARTIAL	public order-tracking read model	getPublicTracking(token)	(none)	fulfillment	be transactional truth; expose internal ids/tenant	OrderJourneyPublicTrackingController; V60/V61
commerceintelligence	D-integration/delivery	CURRENT_PROVEN	analytics/ROI/reconciliation read models	getCommerceAnalytics, getValue, getCommandCenter	(none)	(reads owning modules)	be a writer; hold authoritative business state	AnalyticsController, CommerceAnalyticsController, CommerceIntelligenceController, Stage8*Controller, TrustAnalyticsController, CommandCenterController; V8/V26/V27/V48
tenantimplementation	D-integration/delivery	CURRENT_PARTIAL	pilot/shadow metrics, tenant demo data, onboarding/UAT	runShadow, seedDemo, activateTenant	TenantActivated	tenantorganization, tenantconfiguration	seed into production tenant truth without gate	domain/pilot/*, TenantDemoDataService; V9/V40
